scenario_id,step,constraint_id,constraint,domain,racks_before,racks_after,relief_taken,relief,cost_library_key,risk,capex.value,capex.low,capex.high,capex.unit,capex.evidence,capex.label,capex.provenance,lead_time_weeks.value,lead_time_weeks.low,lead_time_weeks.high,lead_time_weeks.unit,lead_time_weeks.evidence,lead_time_weeks.label,lead_time_weeks.provenance
hybrid_dlc,9,grid_firm_capacity,Firm supply (grid import + behind-the-meter),electrical,26,26,False,Grid reinforcement / new connection capacity from the DSO,grid.reinforcement,In most target metros this relief does not exist inside the decision horizon. Behind-the-meter supply is the only lever that moves this constraint.,2500000,1250000.0,5000000.0,EUR,E0_ASSUMPTION,grid reinforcement capex,f5f7e0079a68,260,150,520,weeks,E0_ASSUMPTION,grid reinforcement lead time,47721a918c66
full_dlc,1,rack_feed_tapoff,Rack feed / tap-off rating,electrical,0,0,True,Higher-rated tap-off units (and busway if ampacity does not allow),tapoff.unit,,6000.0,3000.0,12000.0,EUR/rack,E0_ASSUMPTION,Higher-rated tap-off units (and busway if ampacity does not allow) for 1 racks,bac2079ddc64,24,12,40,weeks,E0_ASSUMPTION,tap-off lead time,7a5fc57ce1e4
full_dlc,2,residual_air_removal,Residual air load removal per rack,thermal,0,0,True,Add in-row cooling or rear-door heat exchangers for the residual air load,inrow_rdhx.per_rack,,9000.0,4500.0,18000.0,EUR/rack,E0_ASSUMPTION,Add in-row cooling or rear-door heat exchangers for the residual air load for 1 racks,88b4e413a7ee,20,12,32,weeks,E0_ASSUMPTION,in-row / RDHx lead time,fe48412ff79a
full_dlc,3,tcs_supply_achievable,Achievable facility water temperature,thermal,0,8,True,Adiabatic assist plus trim chiller on the high-temperature loop,trim_chiller.adiabatic,Adiabatic assist reintroduces water consumption; check permits and WUE targets.,350000,175000.0,700000.0,EUR,E0_ASSUMPTION,adiabatic assist and trim chiller,af0380aad4fa,32,20,48,weeks,E0_ASSUMPTION,lead time,3141b684dcc2
full_dlc,4,transformer_capacity,Transformer capacity,electrical,8,8,True,Replace / add transformer capacity (uprate ~60%),transformer.replacement,"Lead time, not construction, is usually the schedule driver.",1200000,600000.0,2400000.0,EUR,E0_ASSUMPTION,transformer and switchgear replacement,b8816fd15315,160.0,80,210,weeks,E0_ASSUMPTION,power transformer lead time,010015f8a59e
full_dlc,5,ups_capacity,UPS capacity (protected load),electrical,8,12,True,Add UPS modules / new UPS block,ups.per_kW,,864000.0,422400.0,1817600.0,EUR,E0_ASSUMPTION,UPS module addition capex,1423200e04d9,30,20,52,weeks,E0_ASSUMPTION,UPS lead time,843c6ad78c29
full_dlc,6,busway_ampacity,Busway ampacity,electrical,12,22,True,Replace busway with 800-1000 A and new tap-off units,busway.replacement,Requires hall outage or phased de-tenanting.,450000,225000.0,900000.0,EUR,E0_ASSUMPTION,busway replacement for one hall,74129e356449,36,24,52,weeks,E0_ASSUMPTION,busway and tap-off lead time,74ff17170551
full_dlc,7,cdu_capacity,CDU capacity (derated to site water temperature),thermal,22,25,True,Add CDU capacity (one further unit per bank),cdu.addition,,180000,90000.0,360000.0,EUR,E0_ASSUMPTION,"additional row CDU, installed",e2a2ad42d89f,26,16,40,weeks,E0_ASSUMPTION,CDU lead time,77ae364db11a
full_dlc,8,ups_capacity,UPS capacity (protected load),electrical,25,28,True,Add UPS modules / new UPS block,ups.per_kW,,864000.0,422400.0,1817600.0,EUR,E0_ASSUMPTION,UPS module addition capex,1423200e04d9,30,20,52,weeks,E0_ASSUMPTION,UPS lead time,843c6ad78c29
full_dlc,9,grid_firm_capacity,Firm supply (grid import + behind-the-meter),electrical,28,28,False,Grid reinforcement / new connection capacity from the DSO,grid.reinforcement,In most target metros this relief does not exist inside the decision horizon. Behind-the-meter supply is the only lever that moves this constraint.,2500000,1250000.0,5000000.0,EUR,E0_ASSUMPTION,grid reinforcement capex,f5f7e0079a68,260,150,520,weeks,E0_ASSUMPTION,grid reinforcement lead time,47721a918c66
full_dlc_btm,1,rack_feed_tapoff,Rack feed / tap-off rating,electrical,0,0,True,Higher-rated tap-off units (and busway if ampacity does not allow),tapoff.unit,,6000.0,3000.0,12000.0,EUR/rack,E0_ASSUMPTION,Higher-rated tap-off units (and busway if ampacity does not allow) for 1 racks,bac2079ddc64,24,12,40,weeks,E0_ASSUMPTION,tap-off lead time,7a5fc57ce1e4
full_dlc_btm,2,residual_air_removal,Residual air load removal per rack,thermal,0,0,True,Add in-row cooling or rear-door heat exchangers for the residual air load,inrow_rdhx.per_rack,,9000.0,4500.0,18000.0,EUR/rack,E0_ASSUMPTION,Add in-row cooling or rear-door heat exchangers for the residual air load for 1 racks,88b4e413a7ee,20,12,32,weeks,E0_ASSUMPTION,in-row / RDHx lead time,fe48412ff79a
full_dlc_btm,3,tcs_supply_achievable,Achievable facility water temperature,thermal,0,8,True,Adiabatic assist plus trim chiller on the high-temperature loop,trim_chiller.adiabatic,Adiabatic assist reintroduces water consumption; check permits and WUE targets.,350000,175000.0,700000.0,EUR,E0_ASSUMPTION,adiabatic assist and trim chiller,af0380aad4fa,32,20,48,weeks,E0_ASSUMPTION,lead time,3141b684dcc2
full_dlc_btm,4,transformer_capacity,Transformer capacity,electrical,8,8,True,Replace / add transformer capacity (uprate ~60%),transformer.replacement,"Lead time, not construction, is usually the schedule driver.",1200000,600000.0,2400000.0,EUR,E0_ASSUMPTION,transformer and switchgear replacement,b8816fd15315,160.0,80,210,weeks,E0_ASSUMPTION,power transformer lead time,010015f8a59e
full_dlc_btm,5,ups_capacity,UPS capacity (protected load),electrical,8,12,True,Add UPS modules / new UPS block,ups.per_kW,,864000.0,422400.0,1817600.0,EUR,E0_ASSUMPTION,UPS module addition capex,1423200e04d9,30,20,52,weeks,E0_ASSUMPTION,UPS lead time,843c6ad78c29
full_dlc_btm,6,busway_ampacity,Busway ampacity,electrical,12,22,True,Replace busway with 800-1000 A and new tap-off units,busway.replacement,Requires hall outage or phased de-tenanting.,450000,225000.0,900000.0,EUR,E0_ASSUMPTION,busway replacement for one hall,74129e356449,36,24,52,weeks,E0_ASSUMPTION,busway and tap-off lead time,74ff17170551
full_dlc_btm,7,cdu_capacity,CDU capacity (derated to site water temperature),thermal,22,25,True,Add CDU capacity (one further unit per bank),cdu.addition,,180000,90000.0,360000.0,EUR,E0_ASSUMPTION,"additional row CDU, installed",e2a2ad42d89f,26,16,40,weeks,E0_ASSUMPTION,CDU lead time,77ae364db11a
full_dlc_btm,8,ups_capacity,UPS capacity (protected load),electrical,25,28,True,Add UPS modules / new UPS block,ups.per_kW,,864000.0,422400.0,1817600.0,EUR,E0_ASSUMPTION,UPS module addition capex,1423200e04d9,30,20,52,weeks,E0_ASSUMPTION,UPS lead time,843c6ad78c29
full_dlc_btm,9,grid_firm_capacity,Firm supply (grid import + behind-the-meter),electrical,28,31,True,"Behind-the-meter supply: BESS-2MW-8MWh (bess, 2 MW)",client-supplied,No combustion consent required; grid-code compliance and fire separation govern the programme.,1800000.0,1260000.0,2340000.0,EUR,E0_ASSUMPTION,BESS-2MW-8MWh installed capex,6d5723d85dba,30.0,19.5,40.5,weeks,E0_ASSUMPTION,BESS-2MW-8MWh lead time,6b920c9df84d
full_dlc_btm,10,busway_ampacity,Busway ampacity,electrical,31,33,True,Add two further busway runs (needs riser and routing space),busway.replacement,Requires hall outage or phased de-tenanting.,450000,225000.0,900000.0,EUR,E0_ASSUMPTION,busway replacement for one hall,74129e356449,36,24,52,weeks,E0_ASSUMPTION,busway and tap-off lead time,74ff17170551
full_dlc_btm,11,cdu_capacity,CDU capacity (derated to site water temperature),thermal,33,34,True,Add CDU capacity (one further unit per bank),cdu.addition,,180000,90000.0,360000.0,EUR,E0_ASSUMPTION,"additional row CDU, installed",e2a2ad42d89f,26,16,40,weeks,E0_ASSUMPTION,CDU lead time,77ae364db11a
full_dlc_btm,12,grid_firm_capacity,Firm supply (grid import + behind-the-meter),electrical,34,39,True,"Behind-the-meter supply: GEN-5MW (gas_engine, 5 MW)",client-supplied,"Emissions consent and fuel supply are the schedule risk, not the equipment.",4000000.0,2800000.0,5200000.0,EUR,E0_ASSUMPTION,GEN-5MW installed capex,1be583b10fb5,44.0,28.6,59.400000000000006,weeks,E0_ASSUMPTION,GEN-5MW lead time,481a422b0494
full_dlc_btm,13,busway_ampacity,Busway ampacity,electrical,39,40,True,Add two further busway runs (needs riser and routing space),busway.replacement,Requires hall outage or phased de-tenanting.,450000,225000.0,900000.0,EUR,E0_ASSUMPTION,busway replacement for one hall,74129e356449,36,24,52,weeks,E0_ASSUMPTION,busway and tap-off lead time,74ff17170551
full_dlc_btm,14,transformer_capacity,Transformer capacity,electrical,40,43,True,Replace / add transformer capacity (uprate ~60%),transformer.replacement,"Lead time, not construction, is usually the schedule driver.",1200000,600000.0,2400000.0,EUR,E0_ASSUMPTION,transformer and switchgear replacement,b8816fd15315,160.0,80,210,weeks,E0_ASSUMPTION,power transformer lead time,010015f8a59e
full_dlc_btm,15,ups_capacity,UPS capacity (protected load),electrical,43,44,True,Add UPS modules / new UPS block,ups.per_kW,,864000.0,422400.0,1817600.0,EUR,E0_ASSUMPTION,UPS module addition capex,1423200e04d9,30,20,52,weeks,E0_ASSUMPTION,UPS lead time,843c6ad78c29
full_dlc_btm,16,cdu_capacity,CDU capacity (derated to site water temperature),thermal,44,47,True,Add CDU capacity (one further unit per bank),cdu.addition,,180000,90000.0,360000.0,EUR,E0_ASSUMPTION,"additional row CDU, installed",e2a2ad42d89f,26,16,40,weeks,E0_ASSUMPTION,CDU lead time,77ae364db11a
full_dlc_btm,17,busway_ampacity,Busway ampacity,electrical,47,55,True,Add two further busway runs (needs riser and routing space),busway.replacement,Requires hall outage or phased de-tenanting.,450000,225000.0,900000.0,EUR,E0_ASSUMPTION,busway replacement for one hall,74129e356449,36,24,52,weeks,E0_ASSUMPTION,busway and tap-off lead time,74ff17170551
full_dlc_btm,18,busway_ampacity,Busway ampacity,electrical,55,55,True,Add two further busway runs (needs riser and routing space),busway.replacement,Requires hall outage or phased de-tenanting.,450000,225000.0,900000.0,EUR,E0_ASSUMPTION,busway replacement for one hall,74129e356449,36,24,52,weeks,E0_ASSUMPTION,busway and tap-off lead time,74ff17170551
full_dlc_btm,19,cdu_capacity,CDU capacity (derated to site water temperature),thermal,55,61,True,Add CDU capacity (one further unit per bank),cdu.addition,,180000,90000.0,360000.0,EUR,E0_ASSUMPTION,"additional row CDU, installed",e2a2ad42d89f,26,16,40,weeks,E0_ASSUMPTION,CDU lead time,77ae364db11a
full_dlc_btm,20,ups_capacity,UPS capacity (protected load),electrical,61,62,True,Add UPS modules / new UPS block,ups.per_kW,,864000.0,422400.0,1817600.0,EUR,E0_ASSUMPTION,UPS module addition capex,1423200e04d9,30,20,52,weeks,E0_ASSUMPTION,UPS lead time,843c6ad78c29
