scenario_id,constraint_id,constraint,domain,type,binds,racks_permitted,basis,relief,racks.value,racks.low,racks.high,racks.unit,racks.evidence,racks.label,racks.provenance
hybrid_dlc,hydraulic_flow,Hydraulic flow capacity,thermal,capacity,False,69,"9,000 l/min (E3) available against 130 [120–140] l/min (E0) per rack (~1.45 l/min/kW at 10 K delta-T)",Uprate pumps and secondary pipework,69,64,75,racks,E0_ASSUMPTION,racks permitted by available pumped flow (floored to whole racks),a0c7fccb5cd0
hybrid_dlc,floor_space,Available rack positions,physical,capacity,False,180,180 of 560 positions available in DH-02,De-tenant further positions / release white space,180,180,180,racks,E3_ENGINEERING_ESTIMATE,rack positions available in hall (floored to whole racks),659e992bdc64
hybrid_dlc,floor_loading,Floor loading,physical,gate,False,,"972 [894–1,050] kg/m*m (E0) imposed against 1,224 kg/m2 (E5) design capacity",Load spreading / remove raised floor and deploy on slab,,,,,,,
hybrid_dlc,architecture_capability,Cooling architecture per-rack capability,thermal,gate,False,,hybrid_dlc is practically capable of 142 [100–150] kW (E0) per rack; the target platform draws 135 [132–142] kW (E0),,,,,,,,
hybrid_dlc,tcs_supply_achievable,Achievable facility water temperature,thermal,gate,False,,TCS target 30 [27–32] degC (E0) needs facility water at or below 25 [21–28] degC (E0); existing chilled-water plant delivers 6 degC (E3),Adiabatic assist plus trim chiller on the high-temperature loop,,,,,,,
full_dlc,rack_feed_tapoff,Rack feed / tap-off rating,electrical,gate,True,0,platform needs 205 [174–236] A (E0) per rack; installed tap-offs rated 63 A (E5),Higher-rated tap-off units (and busway if ampacity does not allow),0.0,0.0,0.0,racks,E3_ENGINEERING_ESTIMATE,racks permitted by tap-off rating,0ed54f27a7bd
full_dlc,residual_air_removal,Residual air load removal per rack,thermal,gate,False,0,13.5 [10.6–21.3] kW (E0) of air-side load per rack against 9 kW (E3) the hall can remove per position,Add in-row cooling or rear-door heat exchangers for the residual air load,0.0,0.0,0.0,racks,E3_ENGINEERING_ESTIMATE,racks permitted by per-position air removal capacity,f4a1ba2d77f0
full_dlc,tcs_supply_achievable,Achievable facility water temperature,thermal,gate,False,0,TCS target 30 [27–32] degC (E0) needs facility water at or below 25 [21–28] degC (E0); dry coolers at design dry-bulb delivers 44 [42–46] degC (E0),Adiabatic assist plus trim chiller on the high-temperature loop,0.0,0.0,0.0,racks,E3_ENGINEERING_ESTIMATE,racks permitted by achievable water temperature,1f7f819a68ef
full_dlc,transformer_capacity,Transformer capacity,electrical,capacity,False,8,"1,330 [845–1,810] kW (E3) usable after redundancy and derating",Replace / add transformer capacity (uprate ~60%),8,4,11,racks,E0_ASSUMPTION,(transformer headroom available for new IT load / GB300 NVL72 rack TDP) (floored to whole racks),9af5243c1c0c
full_dlc,ups_capacity,UPS capacity (protected load),electrical,capacity,False,8,"1,100 kW (E0) of protected-load headroom after N+1 redundancy",Add UPS modules / new UPS block,8,7,8,racks,E0_ASSUMPTION,(UPS headroom for new IT load / GB300 NVL72 rack TDP) (floored to whole racks),c8e62be34b0a
full_dlc,busway_ampacity,Busway ampacity,electrical,capacity,False,12,"8 run(s) at 400 A derated to 0.8 -> 1,720 kW (E0)",Replace busway with 800-1000 A and new tap-off units,12,12,13,racks,E0_ASSUMPTION,(total usable busway capacity in hall / GB300 NVL72 rack TDP) (floored to whole racks),3112da34d3e7
full_dlc,cdu_capacity,CDU capacity (derated to site water temperature),thermal,capacity,False,22,"2,700 [2,070–2,970] kW (E0) usable against 122 [112–131] kW (E0) of liquid load per rack; 24 [21–26] degC (E0) approach available",Add CDU capacity (one further unit per bank),22,15,26,racks,E0_ASSUMPTION,(CDU-ROW-assumed usable capacity at site conditions / gb300_nvl72 liquid load per rack) (floored to whole racks),25573ad8fd4c
full_dlc,grid_firm_capacity,Firm supply (grid import + behind-the-meter),electrical,capacity,False,28,"4,600 kW (E3) of firm-supply headroom at PUE 1.2 [1.15–1.28]",Grid reinforcement / new connection capacity from the DSO,28,25,30,racks,E0_ASSUMPTION,(firm supply headroom available for new IT load / GB300 NVL72 rack TDP) (floored to whole racks),0fecb91fef87
full_dlc,hydraulic_flow,Hydraulic flow capacity,thermal,capacity,False,69,"9,000 l/min (E3) available against 130 [120–140] l/min (E0) per rack (~1.45 l/min/kW at 10 K delta-T)",Uprate pumps and secondary pipework,69,64,75,racks,E0_ASSUMPTION,racks permitted by available pumped flow (floored to whole racks),a0c7fccb5cd0
full_dlc,plant_capacity,Chilled-water plant capacity,thermal,capacity,False,140,"1,900 kW (E3) of plant headroom against 13.5 [10.6–21.3] kW (E0) per rack — residual air load only (liquid rejected to a dedicated high-temperature loop)",Uprate chilled-water plant (+50%) or add a dedicated high-temperature loop,140,89,179,racks,E0_ASSUMPTION,(chilled-water plant headroom / gb300_nvl72 residual air load per rack) (floored to whole racks),2a32802480d0
full_dlc,floor_space,Available rack positions,physical,capacity,False,180,180 of 560 positions available in DH-02,De-tenant further positions / release white space,180,180,180,racks,E3_ENGINEERING_ESTIMATE,rack positions available in hall (floored to whole racks),659e992bdc64
full_dlc,floor_loading,Floor loading,physical,gate,False,,"972 [894–1,050] kg/m*m (E0) imposed against 1,224 kg/m2 (E5) design capacity",Load spreading / remove raised floor and deploy on slab,,,,,,,
full_dlc,architecture_capability,Cooling architecture per-rack capability,thermal,gate,False,,full_dlc is practically capable of 150 [120–160] kW (E0) per rack; the target platform draws 135 [132–142] kW (E0),,,,,,,,
full_dlc_btm,rack_feed_tapoff,Rack feed / tap-off rating,electrical,gate,True,0,platform needs 205 [174–236] A (E0) per rack; installed tap-offs rated 63 A (E5),Higher-rated tap-off units (and busway if ampacity does not allow),0.0,0.0,0.0,racks,E3_ENGINEERING_ESTIMATE,racks permitted by tap-off rating,0ed54f27a7bd
full_dlc_btm,residual_air_removal,Residual air load removal per rack,thermal,gate,False,0,13.5 [10.6–21.3] kW (E0) of air-side load per rack against 9 kW (E3) the hall can remove per position,Add in-row cooling or rear-door heat exchangers for the residual air load,0.0,0.0,0.0,racks,E3_ENGINEERING_ESTIMATE,racks permitted by per-position air removal capacity,f4a1ba2d77f0
full_dlc_btm,tcs_supply_achievable,Achievable facility water temperature,thermal,gate,False,0,TCS target 30 [27–32] degC (E0) needs facility water at or below 25 [21–28] degC (E0); dry coolers at design dry-bulb delivers 44 [42–46] degC (E0),Adiabatic assist plus trim chiller on the high-temperature loop,0.0,0.0,0.0,racks,E3_ENGINEERING_ESTIMATE,racks permitted by achievable water temperature,1f7f819a68ef
full_dlc_btm,transformer_capacity,Transformer capacity,electrical,capacity,False,8,"1,330 [845–1,810] kW (E3) usable after redundancy and derating",Replace / add transformer capacity (uprate ~60%),8,4,11,racks,E0_ASSUMPTION,(transformer headroom available for new IT load / GB300 NVL72 rack TDP) (floored to whole racks),9af5243c1c0c
full_dlc_btm,ups_capacity,UPS capacity (protected load),electrical,capacity,False,8,"1,100 kW (E0) of protected-load headroom after N+1 redundancy",Add UPS modules / new UPS block,8,7,8,racks,E0_ASSUMPTION,(UPS headroom for new IT load / GB300 NVL72 rack TDP) (floored to whole racks),c8e62be34b0a
full_dlc_btm,busway_ampacity,Busway ampacity,electrical,capacity,False,12,"8 run(s) at 400 A derated to 0.8 -> 1,720 kW (E0)",Replace busway with 800-1000 A and new tap-off units,12,12,13,racks,E0_ASSUMPTION,(total usable busway capacity in hall / GB300 NVL72 rack TDP) (floored to whole racks),3112da34d3e7
full_dlc_btm,cdu_capacity,CDU capacity (derated to site water temperature),thermal,capacity,False,22,"2,700 [2,070–2,970] kW (E0) usable against 122 [112–131] kW (E0) of liquid load per rack; 24 [21–26] degC (E0) approach available",Add CDU capacity (one further unit per bank),22,15,26,racks,E0_ASSUMPTION,(CDU-ROW-assumed usable capacity at site conditions / gb300_nvl72 liquid load per rack) (floored to whole racks),25573ad8fd4c
full_dlc_btm,grid_firm_capacity,Firm supply (grid import + behind-the-meter),electrical,capacity,False,28,"4,600 kW (E3) of firm-supply headroom at PUE 1.2 [1.15–1.28]","Behind-the-meter supply: BESS-2MW-8MWh (bess, 2 MW)",28,25,30,racks,E0_ASSUMPTION,(firm supply headroom available for new IT load / GB300 NVL72 rack TDP) (floored to whole racks),0fecb91fef87
full_dlc_btm,hydraulic_flow,Hydraulic flow capacity,thermal,capacity,False,69,"9,000 l/min (E3) available against 130 [120–140] l/min (E0) per rack (~1.45 l/min/kW at 10 K delta-T)",Uprate pumps and secondary pipework,69,64,75,racks,E0_ASSUMPTION,racks permitted by available pumped flow (floored to whole racks),a0c7fccb5cd0
full_dlc_btm,plant_capacity,Chilled-water plant capacity,thermal,capacity,False,140,"1,900 kW (E3) of plant headroom against 13.5 [10.6–21.3] kW (E0) per rack — residual air load only (liquid rejected to a dedicated high-temperature loop)",Uprate chilled-water plant (+50%) or add a dedicated high-temperature loop,140,89,179,racks,E0_ASSUMPTION,(chilled-water plant headroom / gb300_nvl72 residual air load per rack) (floored to whole racks),2a32802480d0
full_dlc_btm,floor_space,Available rack positions,physical,capacity,False,180,180 of 560 positions available in DH-02,De-tenant further positions / release white space,180,180,180,racks,E3_ENGINEERING_ESTIMATE,rack positions available in hall (floored to whole racks),659e992bdc64
full_dlc_btm,floor_loading,Floor loading,physical,gate,False,,"972 [894–1,050] kg/m*m (E0) imposed against 1,224 kg/m2 (E5) design capacity",Load spreading / remove raised floor and deploy on slab,,,,,,,
full_dlc_btm,architecture_capability,Cooling architecture per-rack capability,thermal,gate,False,,full_dlc is practically capable of 150 [120–160] kW (E0) per rack; the target platform draws 135 [132–142] kW (E0),,,,,,,,
