digest,quantity,evidence,model,assumptions,sources,derived_from
dd3de22bd110,hours per year,E3_ENGINEERING_ESTIMATE,input@0.1,,,
ee5beeda32eb,all-in electricity price,E0_ASSUMPTION,input@0.1,Placeholder. Replace with the site's actual contracted tariff.,,
d9e76af19374,total facility load,E0_ASSUMPTION,envelope.facility_load@0.1,,,edebaf079f15
edebaf079f15,"(deployable IT load * PUE, rear-door heat exchanger architecture)",E0_ASSUMPTION,arith:*@0.1,,,a4e3fd845acb 9cd90386fca6
9cd90386fca6,"PUE, rear-door heat exchanger architecture",E0_ASSUMPTION,input@0.1,,"Uptime Institute Global Survey, 2025",
101c7d75ffc7,annual energy cost,E0_ASSUMPTION,economics.energy_cost@0.1,,,2cd48031561b
2cd48031561b,(annual site energy for the deployed load * all-in electricity price),E0_ASSUMPTION,arith:*@0.1,,,8b951fdf3607 ee5beeda32eb
8b951fdf3607,annual site energy for the deployed load,E0_ASSUMPTION,convert@0.1,,,c5a63b33e5ca
c5a63b33e5ca,((total facility load * annual average rack utilisation) * hours per year),E0_ASSUMPTION,arith:*@0.1,,,117b76411710 dd3de22bd110
117b76411710,(total facility load * annual average rack utilisation),E0_ASSUMPTION,arith:*@0.1,,,d9e76af19374 d5eba6828974
65b104555ffb,total facility load,E0_ASSUMPTION,envelope.facility_load@0.1,,,55bb8c815a6b
55bb8c815a6b,"(deployable IT load * PUE, hybrid DLC on legacy plant)",E0_ASSUMPTION,arith:*@0.1,,,a4e3fd845acb 9c10874a8f81
9c10874a8f81,"PUE, hybrid DLC on legacy plant",E0_ASSUMPTION,input@0.1,"Legacy low-temperature plant retained for residual air load, so free-cooling benefit is largely forgone","Vertiv, quantifying PUE when introducing liquid cooling (modelled), 2023 [V]",
7c17f4c9bb7f,capex per kW of IT load deployed,E0_ASSUMPTION,economics.capex_per_kW@0.1,,,76b816f03692
76b816f03692,(total capex / deployable IT load),E0_ASSUMPTION,arith:/@0.1,,,698a41adaa1e a4e3fd845acb
9484f91af71c,annual energy cost,E0_ASSUMPTION,economics.energy_cost@0.1,,,e2e233657533
e2e233657533,(annual site energy for the deployed load * all-in electricity price),E0_ASSUMPTION,arith:*@0.1,,,829c03c4f6f4 ee5beeda32eb
829c03c4f6f4,annual site energy for the deployed load,E0_ASSUMPTION,convert@0.1,,,842dff4ca004
842dff4ca004,((total facility load * annual average rack utilisation) * hours per year),E0_ASSUMPTION,arith:*@0.1,,,85594918b0fb dd3de22bd110
85594918b0fb,(total facility load * annual average rack utilisation),E0_ASSUMPTION,arith:*@0.1,,,65b104555ffb d5eba6828974
fb85ab271ff0,total facility load,E0_ASSUMPTION,envelope.facility_load@0.1,,,b0a482d9c396
b0a482d9c396,"(deployable IT load * PUE, full DLC with high-temperature loop)",E0_ASSUMPTION,arith:*@0.1,,,a4e3fd845acb 37e16e4a98d9
37e16e4a98d9,"PUE, full DLC with high-temperature loop",E0_ASSUMPTION,input@0.1,Vendor claims of 1.05-1.15 are unproven; 1.15-1.25 used for design per docs/02 §7,"Vertiv, quantifying PUE when introducing liquid cooling (modelled), 2023 [V]",
e325c835963f,annual energy cost,E0_ASSUMPTION,economics.energy_cost@0.1,,,11f8b3c7812d
11f8b3c7812d,(annual site energy for the deployed load * all-in electricity price),E0_ASSUMPTION,arith:*@0.1,,,dd260849847e ee5beeda32eb
dd260849847e,annual site energy for the deployed load,E0_ASSUMPTION,convert@0.1,,,76597257251a
76597257251a,((total facility load * annual average rack utilisation) * hours per year),E0_ASSUMPTION,arith:*@0.1,,,85974433c7f7 dd3de22bd110
85974433c7f7,(total facility load * annual average rack utilisation),E0_ASSUMPTION,arith:*@0.1,,,fb85ab271ff0 d5eba6828974
